orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently,score,rank,subject_bath_score,subject_num_full_baths,subject_num_half_baths,subject_bedrooms,subject_gla,subject_lot_size_sf,subject_property_type,candidate_bath_score,candidate_num_full_baths,candidate_num_half_baths,candidate_bedrooms,candidate_gla,candidate_lot_size_sf,candidate_property_type,candidate_close_price,explanation
4723364,2738 Isle of Man Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.0,0.0,0.0,-2.0,1.0,-65.0,0.0,571943.0,440.0,0.0,0.0,0.0,2.0,1.0,65.0,0.0,571943.0,440.0,2.94,1.0,1.0,1.4640510082244873,1.0,1.5,1,1,3.0,1254,609840.0,Detached,1.5,1,1,2,814,37897.0,Detached,435000.0,"The model ranked the candidate property as relatively comparable to the subject due to similarities in the number of bathrooms and bedrooms. However, the model considered the differences in the gross living area, room count, and full baths to make the candidate slightly less similar overall."
4723364,2480 Hitchcock Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.5,0.0,,0.0,0.0,-20.0,45.0,169884.0,-96.0,0.5,0.0,,0.0,0.0,20.0,45.0,169884.0,96.0,9.98,1.0,1.0,1.3974454402923584,2.0,1.5,1,1,3.0,1254,609840.0,Detached,1.0,1,0,3,1350,439956.0,Detached,349000.0,"The model ranked the candidate property higher due to its similar room count and bedrooms compared to the subject property. Additionally, the slightly higher number of bathrooms in the candidate property contributed positively to the similarity score. The differences in half baths did not have a significant impact on the overall similarity assessment."
4723364,1996 McFarlane Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.5,0.0,,-5.0,0.0,-85.0,-20.0,566280.0,270.0,0.5,0.0,,5.0,0.0,85.0,20.0,566280.0,270.0,6.44,1.0,0.0,0.9523958563804626,3.0,1.5,1,1,3.0,1254,609840.0,Detached,1.0,1,0,3,984,43560.0,Detached,400000.0,"The model ranked the candidate property at 1996 McFarlane Rd higher due to its effective_age_diff being 85 years newer than the subject property, contributing a positive SHAP value of 1.88. Despite having fewer rooms (room_count_diff = -5.0, SHAP -0.18), the candidate's bath_score_diff of 0.5 (SHAP +0.16) made it more comparable to the subject property."
4742669,523 35A St NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,-1.0,0.0,-47.0,1.0,-657.0,-172.0,0.0,0.0,,1.0,0.0,47.0,1.0,657.0,172.0,0.07,1.0,0.0,4.240505695343018,1.0,2.0,2,0,2.0,840,4639.0,Detached,2.0,2,0,2,1012,5296.0,Detached,802500.0,"The model ranked the candidate property higher due to having one fewer room compared to the subject property, which the model considered a positive similarity (+0.24 SHAP). However, the lack of a full bathroom in the candidate property was seen as a dissimilarity (-0.03 SHAP), impacting the overall score."
4742669,2536 4 Ave NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,0.0,0.0,-48.0,0.0,-754.0,0.0,0.0,0.0,,0.0,0.0,48.0,0.0,754.0,0.0,1.54,1.0,1.0,3.7335362434387207,2.0,2.0,2,0,2.0,840,4639.0,Detached,2.0,2,0,2,840,5393.0,Detached,810000.0,"The candidate property was ranked as more comparable due to having the same number of bathrooms, rooms, and bedrooms as the subject property, which positively influenced the score. However, the lack of full baths in the candidate property slightly decreased its similarity score according to the model. The presence of NaN values for half baths and absolute half bath differences suggests these features were not present in the candidate property, which also contributed to the lower similarity score."
4742669,2425 3 Ave NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",1.0,1.0,,-1.0,0.0,-55.0,-7.0,-775.0,-172.0,1.0,1.0,,1.0,0.0,55.0,7.0,775.0,172.0,1.77,1.0,1.0,2.6987032890319824,3.0,2.0,2,0,2.0,840,4639.0,Detached,1.0,1,0,2,1012,5414.0,Detached,670000.0,"The model ranked the candidate property as more comparable to the subject property due to having one more room (room_count_diff = -1.0, SHAP +0.18) despite having one more full bath (full_baths_diff = 1.0, SHAP -0.00). The similar number of bedrooms (bedrooms_diff = 0.0, SHAP +0.14) also contributed positively to the overall score."
4752865,3116 Winspear Cres SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,979.0,204.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,979.0,204.0,2.17,1.0,0.0,2.9436888694763184,1.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,4,2770,5533.0,Detached,842500.0,"The model ranked the candidate property as more comparable to the subject because they have the same number of bathrooms and rooms, which had positive SHAP values. However, the difference in lot size between the properties had a negative impact on the score, contributing to the slight dissimilarity."
4752865,1253 Adamson Dr SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-8.0,-6.0,-754.0,-390.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,754.0,390.0,3.27,1.0,1.0,2.899076223373413,2.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,4,3364,7266.0,Detached,1194500.0,"The candidate property was deemed more comparable to the subject property due to having the same number of bathrooms, half bathrooms, and rooms, which positively influenced the score. However, the fact that the candidate property was sold recently had a slight negative impact on its similarity score."
4752865,716 40 St SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,1.0,1.0,-4.0,-2.0,1884.0,418.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1884.0,418.0,4.69,1.0,0.0,2.2730929851531982,3.0,2.5,2,1,4.0,2974,6512.0,Detached,2.5,2,1,3,2556,4628.0,Detached,844707.0,"The model ranked the candidate property at 716 40 St SW as relatively comparable to the subject based on having a similar number of bathrooms and rooms. However, the slight differences in full baths, lot size, and gross living area made the candidate slightly less similar to the subject property."
4755196,156 Aquarium Ave,1,531 Des Genévriers Rue Orléans ON K4A0Z2,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-629.0,-115.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,629.0,115.0,0.84,1.0,1.0,3.0179545879364014,1.0,3.5,3,1,4.0,2956,3601.0,Detached,3.5,3,1,4,3071,4230.0,Detached,1130000.0,"The model considered the candidate property at 156 Aquarium Ave to be more similar to the subject property due to having the same number of bathrooms, half bathrooms, and rooms. However, it found the candidate to be less similar because it was 2 years older than the subject, which slightly impacted the overall similarity score."
4755196,415 Hepatica Way,1,531 Des Genévriers Rue Orléans ON K4A0Z2,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,-484.0,-395.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,484.0,395.0,0.43,1.0,1.0,1.8487361669540405,2.0,3.5,3,1,4.0,2956,3601.0,Detached,3.5,3,1,4,3351,4085.0,Detached,1085000.0,"The model ranked the candidate property as more comparable to the subject property due to having the same number of bathrooms, half bathrooms, and bedrooms, which positively influenced the score. However, the model found the candidate less similar because it had fewer full baths, fewer rooms, and a slightly smaller lot size, which negatively impacted the score."
4755196,1959 Montclair Ave,1,531 Des Genévriers Rue Orléans ON K4A0Z2,1.0,1.0,0.0,-2.0,0.0,-20.0,-18.0,-1940.0,360.0,1.0,1.0,0.0,2.0,0.0,20.0,18.0,1940.0,360.0,4.01,1.0,1.0,0.22210706770420074,3.0,3.5,3,1,4.0,2956,3601.0,Detached,2.5,2,1,4,2596,5541.0,Detached,942500.0,"The model ranked the candidate property at 1959 Montclair Ave as somewhat comparable to the subject due to having similar numbers of bathrooms (1 full bath, 0 half baths) and a similar bathroom quality score. However, the lower room count, larger GLA difference, and absolute difference in full baths compared to the subject made the candidate slightly less similar overall."
4756192,Unit 2602 - 510 6 Avenue SE,1,2306-530 3 St SE Calgary AB T2G 2L8,0.0,0.0,,0.0,0.0,-8.0,-8.0,,71.0,0.0,0.0,,0.0,0.0,8.0,8.0,,71.0,0.21,1.0,1.0,3.0360028743743896,1.0,2.0,2,0,2.0,1109,,High Rise Apartment,2.0,2,0,2,1038,,High Rise Apartment,607500.0,"The model ranked Unit 2602 - 510 6 Avenue SE as more comparable to the subject property primarily because of its similar room count, bedrooms, and bath score. The slight differences in the number of full baths and the recent sale status had a minor negative impact on the similarity score."
4756192,1606-1111 10 St SW,1,2306-530 3 St SE Calgary AB T2G 2L8,0.0,0.0,,-1.0,0.0,-12.0,-12.0,,144.0,0.0,0.0,,1.0,0.0,12.0,12.0,,144.0,2.3,1.0,1.0,2.8641867637634277,2.0,2.0,2,0,2.0,1109,,High Rise Apartment,2.0,2,0,2,965,,High Rise Apartment,517500.0,"The candidate property was ranked as more comparable to the subject property primarily because it had one fewer room, which increased the similarity score by 0.24. Additionally, the similar number of bathrooms and bedrooms also contributed positively to the overall score, with SHAP values of +0.08 and +0.10 respectively. However, the fact that the candidate property was sold recently had a negative impact on the similarity score, reducing it by 0.02."
4756192,3205-930 6 Ave SW,1,2306-530 3 St SE Calgary AB T2G 2L8,0.0,0.0,,-1.0,0.0,-7.0,-7.0,,128.0,0.0,0.0,,1.0,0.0,7.0,7.0,,128.0,1.92,1.0,1.0,2.730776786804199,3.0,2.0,2,0,2.0,1109,,High Rise Apartment,2.0,2,0,2,981,,High Rise Apartment,574900.0,"The model ranked the candidate property as more comparable to the subject property due to having a similar number of bathrooms and bedrooms, even though the candidate has one fewer room. The lack of full bath and half bath information for the candidate property did not significantly impact the similarity score."
4756320,146 Allard Link SW,1,405 Allard Blvd SW Edmonton AB T6W3T3,0.0,0.0,0.0,0.0,0.0,-4.0,-1.0,-194.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,194.0,0.0,0.67,1.0,0.0,4.5623602867126465,1.0,2.5,2,1,3.0,1580,3552.0,Detached,2.5,2,1,3,1580,3746.0,Detached,468000.0,"The model ranked the candidate property at 146 Allard Link SW as more comparable to the subject at 405 Allard Blvd SW mainly due to similar room counts (SHAP +0.56) and the absence of differences in bath_score (SHAP +0.07) and half baths (SHAP +0.12). However, the slight difference in full baths (SHAP -0.03) made the candidate slightly less similar to the subject."
4756320,3018 Arthurs Cres SW,1,405 Allard Blvd SW Edmonton AB T6W3T3,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,829.0,155.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,829.0,155.0,0.51,1.0,0.0,3.819509744644165,2.0,2.5,2,1,3.0,1580,3552.0,Detached,2.5,2,1,3,1425,2723.0,Detached,441500.0,"The model ranked the candidate property as more comparable to the subject property due to having the same number of bathrooms and rooms, which had positive impacts on the score. However, the slight difference in lot size resulted in a negative impact, indicating a slight dissimilarity in this aspect."
4756320,645 Allard Blvd SW,1,405 Allard Blvd SW Edmonton AB T6W3T3,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,-818.0,140.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,818.0,140.0,0.81,1.0,1.0,3.3191211223602295,3.0,2.5,2,1,3.0,1580,3552.0,Detached,2.5,2,1,3,1440,4370.0,Detached,478000.0,"The model ranked the candidate property at 645 Allard Blvd SW as more comparable to the subject at 405 Allard Blvd SW due to having the same number of bathrooms, half bathrooms, and rooms, which positively influenced the score. However, the model found the lack of a recent sale and the difference in the number of full bathrooms to make the candidate slightly less similar to the subject."
4756829,178 Joshua St,1,340 Axis Way Ottawa ON K1W 0J9,1.0,1.0,0.0,0.0,0.0,-1.0,3.0,-549.0,72.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,549.0,72.0,1.61,1.0,1.0,2.5627336502075195,1.0,3.5,3,1,3.0,1587,1868.0,Townhouse,2.5,2,1,3,1515,2417.0,Townhouse,632000.0,"The model ranked the candidate property at 178 Joshua St as more comparable to the subject at 340 Axis Way due to its similar number of half baths, room count, and bedrooms. However, the slight differences in the bath score, number of full baths, and absolute difference in full baths made the candidate slightly less similar to the subject property."
4756829,783 Percifor Way,1,340 Axis Way Ottawa ON K1W 0J9,1.0,1.0,0.0,-1.0,0.0,-9.0,-5.0,-73.0,-153.0,1.0,1.0,0.0,1.0,0.0,9.0,5.0,73.0,153.0,1.57,1.0,1.0,1.9815422296524048,2.0,3.5,3,1,3.0,1587,1868.0,Townhouse,2.5,2,1,3,1740,1941.0,Townhouse,612500.0,"The candidate property at 783 Percifor Way was considered more comparable to the subject property at 340 Axis Way due to having a similar number of bathrooms and rooms. Despite having a slightly different number of full baths and being sold recently, these differences were not significant enough to outweigh the overall similarities in bath_score and room_count, resulting in a relatively high similarity score of 1.98."
4756829,283 Falsetto St,1,340 Axis Way Ottawa ON K1W 0J9,0.0,0.0,0.0,0.0,0.0,4.0,8.0,146.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,146.0,18.0,1.39,1.0,1.0,1.975131869316101,3.0,3.5,3,1,3.0,1587,1868.0,Townhouse,3.5,3,1,3,1569,1722.0,Townhouse,635000.0,"The model ranked the candidate property at 283 Falsetto St as more comparable to the subject at 340 Axis Way Ottawa due to having the same number of bathrooms, half bathrooms, and rooms. However, the candidate was considered less similar because it had fewer full baths, was slightly older, and had a larger lot size compared to the subject property."
4757939,3310 Centre St NE,1,824 9A ST NE Calgary AB T2E4L6,0.0,0.0,,0.0,0.0,-46.0,-2.0,743.0,22.0,0.0,0.0,,0.0,0.0,46.0,2.0,743.0,22.0,3.01,1.0,0.0,3.697261095046997,1.0,2.0,2,0,2.0,969,6738.0,Detached,2.0,2,0,2,947,5995.0,Detached,650000.0,"The candidate property on Centre St NE was ranked as 3.70 compared to the subject property on 9A St NE due to the similar number of bathrooms, rooms, and bedrooms. The slightly larger lot size of the candidate property negatively impacted the score, indicating a slight dissimilarity in this aspect."
4757939,632 12 Ave NE,1,824 9A ST NE Calgary AB T2E4L6,1.0,1.0,,1.0,1.0,-51.0,-7.0,743.0,345.0,1.0,1.0,,1.0,1.0,51.0,7.0,743.0,345.0,0.88,1.0,0.0,3.2942144870758057,2.0,2.0,2,0,2.0,969,6738.0,Detached,1.0,1,0,1,624,5995.0,Detached,773000.0,"The candidate property at 632 12 Ave NE was ranked as more comparable to the subject at 824 9A ST NE due to having a similar number of bathrooms (bath_score_diff = 1.0, SHAP +0.08) and a slight difference in the number of full baths (full_baths_diff = 1.0, SHAP +0.01). However, the model found the lot size difference of 743.0 square feet (lot_size_sf_diff = 743.0, SHAP -0.07) to make the candidate slightly less similar to the subject."
4757939,924 15 Ave NE,1,824 9A ST NE Calgary AB T2E4L6,0.0,0.0,,0.0,-1.0,-42.0,2.0,743.0,-97.0,0.0,0.0,,0.0,1.0,42.0,2.0,743.0,97.0,0.77,1.0,1.0,2.977832794189453,3.0,2.0,2,0,2.0,969,6738.0,Detached,2.0,2,0,3,1066,5995.0,Detached,760000.0,"The model ranked the candidate property as more comparable to the subject primarily due to the similarity in room count and minimal differences in bathroom count. Despite a slight decrease in the number of bedrooms, the overall match was strengthened. However, the larger lot size of the candidate property had a negative impact on the similarity score, indicating a potential area of divergence between the properties."
4757966,206-88 Arbour Lake Rd NW,1,218 88 ARBOUR LAKE RD NW Calgary AB T3G0C2,0.0,0.0,,-1.0,0.0,-2.0,0.0,,-21.0,0.0,0.0,,1.0,0.0,2.0,0.0,,21.0,0.0,1.0,1.0,2.994174003601074,1.0,2.0,2,0,2.0,1039,,Low Rise Apartment,2.0,2,0,2,1060,,Low Rise Apartment,384000.0,"The model ranked the candidate property as more comparable to the subject primarily due to similarities in the number of bathrooms, rooms, and bedrooms. The slight differences in the number of full baths did not significantly impact the overall similarity score."
4757966,215-88 Arbour Lake Rd NW,1,218 88 ARBOUR LAKE RD NW Calgary AB T3G0C2,0.0,0.0,,-1.0,0.0,-2.0,0.0,,89.0,0.0,0.0,,1.0,0.0,2.0,0.0,,89.0,0.0,1.0,1.0,1.9245933294296265,2.0,2.0,2,0,2.0,1039,,Low Rise Apartment,2.0,2,0,2,950,,Low Rise Apartment,328500.0,"The model ranked the candidate property as more comparable to the subject property due to having a similar number of bathrooms and bedrooms. However, the absence of differences in the number of full baths and absolute full bath counts slightly decreased the similarity score. The slight differences in these features influenced the model's overall assessment of the candidate property."
